date,ticker,price
2024-01-01,AAPL,149.37351527734418
2024-01-02,AAPL,147.7179461165121
2024-01-03,AAPL,147.83710049125926
2024-01-04,AAPL,148.36768456706142
2024-01-05,AAPL,148.53401585005375
2024-01-06,AAPL,150.30059933528455
2024-01-07,AAPL,151.42250847787307
2024-01-08,AAPL,149.74270574102957
2024-01-09,AAPL,149.43308919117302
2024-01-10,AAPL,150.4560749355852
2024-01-11,AAPL,150.8423943880506
2024-01-12,AAPL,151.21062492389672
2024-01-13,AAPL,151.2516590306623
2024-01-14,AAPL,150.59196021643885
2024-01-15,AAPL,151.76125527031826
2024-01-16,AAPL,151.2499393996735
2024-01-17,AAPL,152.13170321440217
2024-01-18,AAPL,153.284120935823
2024-01-19,AAPL,154.03248432092934
2024-01-20,AAPL,154.81548610356992
